Name,Username,Tweet ID (click to view url),Retweets,Comments,Favorites,Is Retweet?,Date,Tweet Text,Author Followers,Author Friends,Author Favorites,Author Statuses,Author Bio,Author Image,Author Location,Author Verified,Tweet Source,Status URL,
Google,Google,1892838479563739458,1,1,0,no,2/21/25 7:27,@SohanJa44171468 @SohanJa44171468 Hi Sohan. Let's see what we can do to help. Look out for a DM with next steps.,32689725,284,0,232408,#HeyGoogle,https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,"Mountain View, CA",no,Sprinklr Care,https://www.twitter.com/Google/status/1892838479563739458,https://www.twitter.com/Google
Google,Google,1892840467072483640,0,0,0,no,2/21/25 7:35,@AvneeshYad38382 @AvneeshYad38382 Hi Avneesh. Let's see what we can do to help. Look out for a DM with next steps.,32689725,284,0,232408,#HeyGoogle,https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,"Mountain View, CA",no,Sprinklr Care,https://www.twitter.com/Google/status/1892840467072483640,https://www.twitter.com/Google
Google,Google,1892847249815753150,0,0,1,no,2/21/25 8:02,@rann_rar Hi there. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,32689725,284,1,232408,#HeyGoogle,https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,"Mountain View, CA",no,Sprinklr Care,https://www.twitter.com/Google/status/1892847249815753150,https://www.twitter.com/Google
Google,Google,1892848147686121614,0,0,0,no,2/21/25 8:05,@iamnaresh07 @iamnaresh07 Hi Naresh. Try these tips if you're having issues with 2-Step Verification: https://t.co/QBOhSJTMiS. Keep us posted.,32689725,284,0,232408,#HeyGoogle,https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,"Mountain View, CA",no,Sprinklr Care,https://www.twitter.com/Google/status/1892848147686121614,https://www.twitter.com/Google
Google,Google,1892848968742109568,0,2,1,no,2/21/25 8:08,"@Aayuspal @GoogleIndia @Aayuspal Hi Ankita. Let's see if we can help. Please follow us and let us know when you have, so we can share next steps through DM.",32689725,284,1,232408,#HeyGoogle,https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,"Mountain View, CA",no,Sprinklr Care,https://www.twitter.com/Google/status/1892848968742109568,https://www.twitter.com/Google
Google,Google,1892852028558234035,0,3,1,no,2/21/25 8:21,@KenyanMaster1 Understood. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,32689725,284,1,232408,#HeyGoogle,https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,"Mountain View, CA",no,Sprinklr Care,https://www.twitter.com/Google/status/1892852028558234035,https://www.twitter.com/Google
Google,Google,1892868641479180415,0,3,1,no,2/21/25 9:27,"@Jilani70150S Hi there, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",32689725,284,1,232408,#HeyGoogle,https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,"Mountain View, CA",no,Sprinklr Care,https://www.twitter.com/Google/status/1892868641479180415,https://www.twitter.com/Google
Google,Google,1892870057731993653,0,0,0,no,2/21/25 9:32,@ArshdeepKa82823 Got it. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,32689725,284,0,232408,#HeyGoogle,https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,"Mountain View, CA",no,Sprinklr Care,https://www.twitter.com/Google/status/1892870057731993653,https://www.twitter.com/Google
Google,Google,1892871681888166271,0,0,0,no,2/21/25 9:39,@mohanadiazan1 Hmm. Let's see what we can do to help. Look out for a DM with next steps.,32689725,284,0,232408,#HeyGoogle,https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,"Mountain View, CA",no,Sprinklr Care,https://www.twitter.com/Google/status/1892871681888166271,https://www.twitter.com/Google
Google,Google,1892872717155664133,0,0,0,no,2/21/25 9:43,"@ErcoleSanto Hmm. You can skip that step using ""Try another way"" but we suggest answering all questions as best as you can. Keep us posted.",32689725,284,0,232408,#HeyGoogle,https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,"Mountain View, CA",no,Sprinklr Care,https://www.twitter.com/Google/status/1892872717155664133,https://www.twitter.com/Google
